run_number,temperature,tags,summary,latency_ms,timestamp
18,0.7,"[""soccer semifinal rescheduling"", ""stadium venue change"", ""event logistics update""]","Falcons vs. Tigers soccer semifinal moves to Spartan Stadium on September 12 due to maintenance, with early arrival, ID, and backup venue requirements.",88382,2026-08-31T09:38:29.240204+00:00
19,0.7,"[""soccer semifinal rescheduling"", ""spartan stadium location change"", ""community center backup venue""]",Community soccer semifinal rescheduled to Spartan Stadium on September 12 with community center as backup.,77482,2026-08-31T09:39:46.726395+00:00
20,0.7,"[""soccer semifinal rescheduling"", ""spartan stadium event details"", ""field maintenance impact""]","Falcons vs. Tigers soccer semifinal rescheduled to Spartan Stadium on Sept 12 due to field maintenance; early arrival, ID checks, and community center backup if.",116941,2026-08-31T09:41:43.669536+00:00
1,0.0,"[""soccer match rescheduling"", ""venue change notification"", ""event logistics update""]",Falcons vs. Tigers soccer semifinal rescheduled to Spartan Stadium on September 12 with logistics and rain backup plan.,78533,2026-08-31T09:43:02.205907+00:00
2,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",92203,2026-08-31T09:44:34.414686+00:00
3,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",88365,2026-08-31T09:46:02.784040+00:00
4,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",88281,2026-08-31T09:47:31.067558+00:00
5,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",88256,2026-08-31T09:48:59.327073+00:00
6,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",88098,2026-08-31T09:50:27.431274+00:00
7,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",82749,2026-08-31T09:51:50.182047+00:00
8,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",89246,2026-08-31T09:53:19.431175+00:00
9,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",91327,2026-08-31T09:54:50.759901+00:00
10,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",93800,2026-08-31T09:56:24.561491+00:00
11,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",92287,2026-08-31T09:57:56.844835+00:00
12,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",82133,2026-08-31T09:59:18.980049+00:00
13,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",80201,2026-08-31T10:00:39.184342+00:00
14,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",80211,2026-08-31T10:01:59.400999+00:00
15,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",80224,2026-08-31T10:03:19.626620+00:00
16,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",80356,2026-08-31T10:04:39.987917+00:00
17,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",80782,2026-08-31T10:06:00.774292+00:00
18,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",80119,2026-08-31T10:07:20.895283+00:00
19,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",80216,2026-08-31T10:08:41.113860+00:00
20,0.0,"[""soccer match rescheduling"", ""venue change"", ""event logistics""]","Falcons vs. Tigers semifinal moves to Spartan Stadium on September 12 with early arrival, ID requirements, and a rain backup plan.",80231,2026-08-31T10:10:01.350380+00:00
